"Name","City","Country","Domes","Status","EPN Inclusion","Station Log","OperationalCentre","TectonicPlate","Latitude","Longitude","Elevation","X","Y","Z","IGS","EPOS","ITRF2014","IGS14","ITRF2020","IGS20"
"ACOR00ESP","A Coruna","ESP","13434M001","included","1999-09-05","acor00esp_20230724.log","IGE","EURASIAN","43.3644","-8.3989","67.0","4594489.94","-678368.07","4357065.90","","included","ITRF2014","","ITRF2020",""
"ADAR00GBR","Aberdaron","GBR","19161M001","included","2017-02-12","adar00gbr_20230628.log","OS","EURASIAN","52.7892","-4.7413","148.4","3852250.00","-319511.00","5056510.00","","included","","","",""
"AGRN00ITA","Agrigento","ITA","19584M002","included","2022-06-12","agrn00ita_20230607.log","ASI","EURASIAN","37.3033","13.5965","244.9","4937496.65","1194190.76","3844371.27","","included","","","",""
"AJAC00FRA","Ajaccio","FRA","10077M005","included","2000-02-20","ajac00fra_20211215.log","IGN_RGP","EURASIAN","41.9275","8.7626","98.8","4696990.00","723994.00","4239678.00","included","included","ITRF2014","IGS14","ITRF2020",""
"ALAC00ESP","Alicante","ESP","13433M001","included","1999-09-05","alac00esp_20230724.log","IGE","EURASIAN","38.3389","-0.4812","60.3","5009051.41","-42072.47","3935057.48","","included","ITRF2014","","ITRF2020",""
"ALBA00ESP","Albacete","ESP","13452M001","included","2007-09-09","alba00esp_20230725.log","IGE","EURASIAN","38.9779","-1.8564","751.6","4962848.13","-160854.39","3990884.14","","included","","","",""
"ALME00ESP","Almeria","ESP","13437M001","included","2001-01-21","alme00esp_20230913.log","IGE","EURASIAN","36.8525","-2.4595","127.5","5105220.29","-219278.78","3804386.86","","included","ITRF2014","","ITRF2020",""
"ANK200TUR","Ankara","TUR","20818M001","included","2021-09-05","ank200tur_20220218.log","GCM","EURASIAN","39.8428","32.7753","1294.3","4124040.18","2655251.84","4065428.47","included","","","","",""
"AQUI00ITA","L'Aquila","ITA","12757M001","included","2001-10-14","aqui00ita_20220913.log","ASI","EURASIAN","42.3682","13.3502","713.0","4592507.54","1089876.36","4276392.90","","included","","","ITRF2020",""
"ARA200SVN","Areh","SVN","14503M002","included","2022-01-23","ara200svn_20220617.log","GIS","EURASIAN","46.4946","15.5088","1292.1","4239308.75","1176363.86","4604205.16","","included","","","",""
"ARGI00FRO","Argir, Torshavn","FRO","10117M002","included","2011-02-27","argi00fro_20221129.log","SDFE","EURASIAN","61.9974","-6.7835","110.2","2981489.90","-354651.39","5608474.89","","included","ITRF2014","","ITRF2020",""
"ARIS00GBR","Arisaig","GBR","19190M001","included","2017-02-12","aris00gbr_20230831.log","OS","EURASIAN","56.9096","-5.8494","59.2","3472288.00","-355730.00","5320459.00","","included","","","",""
"ARJ600SWE","Arjeplog","SWE","10428M002","included","2014-06-22","arj600swe_20230119.log","LMV","EURASIAN","66.3180","18.1250","489.7","2441772.83","799272.22","5818730.25","","included","","","",""
"ASIR00ITA","Roma","ITA","14668M001","included","2022-06-05","asir00ita_20231116.log","ASI","EURASIAN","41.8547","12.6180","130.3","4642967.37","1039360.04","4233684.20","","included","","","",""
"AUBG00DEU","Augsburg","DEU","10913M001","included","2016-08-14","aubg00deu_20230324.log","BKG","EURASIAN","48.4213","10.9213","508.6","4164312.90","803525.90","4748474.90","","included","","","",""
"AUT100GRC","Thessaloniki","GRC","12619M002","included","2005-04-24","aut100grc_20201009.log","DGS","EURASIAN","40.5668","23.0037","150.0","4466283.50","1896166.75","4126096.68","","proposed","ITRF2014","","ITRF2020",""
"AUTN00FRA","Autun","FRA","10080M001","included","2005-07-03","autn00fra_20230215.log","IGN_RGP","EURASIAN","46.9538","4.2890","352.9","4349466.00","326196.00","4638521.00","","included","","","",""
"AXPV00FRA","Aix En Provence","FRA","10057M001","included","2010-03-28","axpv00fra_20220823.log","IGN_RGP","EURASIAN","43.4912","5.3332","229.0","4614667.00","430786.00","4367411.00","","included","","","",""
"BACA00ROU","Bacau","ROU","11405M001","included","2006-02-12","baca00rou_20230718.log","NACLR","EURASIAN","46.5621","26.9122","219.2","3917525.37","1988523.87","4608585.46","","included","","","ITRF2020",""
"BADH00DEU","Bad Homburg","DEU","14288M001","included","2006-05-07","badh00deu_20230601.log","BKG","EURASIAN","50.2280","8.6099","261.3","4042497.60","612081.70","4879251.30","","included","","","ITRF2020",""
"BAIA00ROU","Baia Mare","ROU","11406M001","included","2006-02-12","baia00rou_20230718.log","NACLR","EURASIAN","47.6518","23.5577","270.8","3945840.11","1720428.04","4691082.50","","included","","","ITRF2020",""
"BAUT00DEU","Bautzen","DEU","14102M001","included","2019-05-05","baut00deu_20230426.log","BKG","EURASIAN","51.1923","14.5217","211.8","3877545.50","1004370.90","4947148.10","included","included","","","",""
"BBYS00SVK","Banska Bystrica","SVK","11514M001","included","2007-02-04","bbys00svk_20230906.log","GKU","EURASIAN","48.7518","19.1510","487.4","3980358.80","1382292.10","4772772.00","","included","","","",""
"BCLN00ESP","Sant Vicenc dels Horts","ESP","13412M001","included","2015-08-02","bcln00esp_20230720.log","IGE","EURASIAN","41.4054","2.0042","84.7","4788065.00","167551.00","4196355.00","","included","","","",""
"BELL00ESP","Bellmunt de Segarra","ESP","13431M001","included","1999-01-31","bell00esp_20231115.log","ICGC","EURASIAN","41.5996","1.4011","852.5","4775849.00","116814.00","4213018.00","","included","ITRF2014","","ITRF2020",""
"BIRG00ITA","Trapani","ITA","14613M001","included","2022-06-05","birg00ita_20220913.log","ASI","EURASIAN","37.9065","12.5060","69.6","4919315.04","1091124.13","3897299.30","","included","","","",""
"BISK00CZE","Zlate Hory","CZE","11520M001","included","2005-04-24","bisk00cze_20200219.log","IRSM","EURASIAN","50.2567","17.4286","950.9","3898946.10","1223993.20","4881826.40","","proposed","","","",""
"BME100HUN","Budapest","HUN","11209M002","included","2021-12-12","bme100hun_20210506.log","BMEDGS","EURASIAN","47.4790","19.0577","178.8","4082000.92","1410145.63","4678053.71","","included","","","",""
"BOGE00POL","Borowa Gora","POL","12207M004","included","2019-05-05","boge00pol_20231112.log","IGIK","EURASIAN","52.4752","21.0350","142.3","3633803.40","1397432.40","5035298.60","","included","","","",""
"BOGI00POL","Borowa Gora","POL","12207M003","included","2002-09-22","bogi00pol_20210505.log","IGIK","EURASIAN","52.4750","21.0352","139.9","3633815.70","1397453.90","5035280.80","included","included","","","ITRF2020",""
"BOGO00POL","Borowa Gora","POL","12207M002","included","1996-06-30","bogo00pol_20180123.log","IGIK","EURASIAN","52.4759","21.0353","149.6","3633739.30","1397433.90","5035353.30","","included","ITRF2014","","ITRF2020",""
"BOLG00ITA","Bologna","ITA","12771M001","included","2005-03-27","bolg00ita_20230628.log","UNIBO","EURASIAN","44.5002","11.3568","99.6","4467541.09","897307.28","4447975.11","","","","","",""
"BOR100POL","Borowiec","POL","12205M002","included","1995-12-31","bor100pol_20220425.log","SRCPAS","EURASIAN","52.2770","17.0735","124.9","3738358.83","1148173.96","5021816.11","included","included","ITRF2014","IGS14","ITRF2020",""
"BORJ00DEU","Borkum (Island of Borkum)","DEU","14268M002","included","2006-12-24","borj00deu_20230419.log","BKG","EURASIAN","53.5789","6.6664","53.0","3769402.80","440564.50","5109099.20","","included","ITRF2014","","ITRF2020",""
"BORR00ESP","Borriana","ESP","13480M001","included","2007-10-21","borr00esp_20210312.log","ICV","EURASIAN","39.9052","-0.0832","72.9","4899519.31","-7115.81","4069961.42","","included","","","ITRF2020",""
"BPDL00POL","Biala Podlaska","POL","12223M001","included","2008-06-08","bpdl00pol_20230831.log","ASGEUPOS","EURASIAN","52.0353","23.1274","196.7","3615990.00","1544391.00","5005374.00","","included","","","",""
"BRMF00FRA","Bron","FRA","19686M002","included","2015-07-26","brmf00fra_20230215.log","IGN_RGP","EURASIAN","45.7261","4.9384","256.7","4443793.00","383967.20","4544228.60","","included","","","",""
"BRMG00DEU","Bremgarten","DEU","10918M001","included","2020-05-24","brmg00deu_20230425.log","BKG","EURASIAN","47.9077","7.6329","261.6","4245557.10","568958.10","4710200.00","included","included","","","",""
"BRST00FRA","Brest","FRA","10004M004","included","1998-12-06","brst00fra_20211124.log","IGN_RGP","EURASIAN","48.3805","-4.4966","65.5","4231162.00","-332747.00","4745131.00","included","included","ITRF2014","IGS14","ITRF2020",""
"BRTS00BLR","Brest","BLR","14804M001","included","2020-04-19","brts00blr_20220310.log","BYGEO","EURASIAN","52.0876","23.7134","197.2","3595801.00","1579448.00","5008954.00","","","","","",""
"BRUX00BEL","Brussels","BEL","13101M010","included","2012-03-11","brux00bel_20230124.log","ROB","EURASIAN","50.7981","4.3586","158.3","4027881.63","306998.54","4919498.98","included","included","ITRF2014","IGS14","ITRF2020",""
"BSCN00FRA","Besançon","FRA","10028M007","included","2005-12-18","bscn00fra_20230215.log","IGN_RGP","EURASIAN","47.2469","5.9894","358.6","4314139.00","452626.00","4660703.00","","included","","","",""
"BSVZ00ITA","Basovizza","ITA","12718M004","included","2022-06-12","bsvz00ita_20220913.log","ASI","EURASIAN","45.6428","13.8752","444.5","4336753.10","1071249.26","4537898.86","","included","","","",""
"BUCU00ROU","Bucuresti","ROU","11401M001","included","1999-02-21","bucu00rou_20220729.log","tuceb","EURASIAN","44.4639","26.1257","143.2","4093760.99","2007793.67","4445129.86","included","included","ITRF2014","IGS14","ITRF2020",""
"BUDD00DNK","Copenhagen","DNK","10101S001","included","2021-06-06","budd00dnk_20221113.log","SDFE","EURASIAN","55.7389","12.5000","87.9","3513649.63","778954.54","5248201.78","","included","","","",""
