"Name","DOMES","Status","Country","GNSS Antenna","GNSS Receiver"
"ACOR00ESP","13434M001","active","Spain (ESP)","LEIAT504","LEICA GR50"
"ADAR00GBR","19161M001","active","United Kingdom of Great Britain and Northern Ireland (the) (GBR)","LEIAR20","SEPT POLARX5"
"AGRN00ITA","19584M002","active","Italy (ITA)","LEIAR20","LEICA GR30"
"AJAC00FRA","10077M005","active","France (FRA)","TRM115000.00","LEICA GR50"
"ALAC00ESP","13433M001","active","Spain (ESP)","LEIAR25.R3","LEICA GR50"
"ALBA00ESP","13452M001","active","Spain (ESP)","LEIAR25.R3","LEICA GR50"
"ALCI00UKR","12371S001","decommissioned","Ukraine (UKR)","TRM41249.00","TRIMBLE 5700"
"ALKS00LVA","10731M002","active","Latvia (LVA)","LEIAR20","LEICA GR30"
"ALME00ESP","13437M001","active","Spain (ESP)","TRM29659.00","TRIMBLE NETR9"
"AMMN00JOR","22201M001","decommissioned","Jordan (JOR)","ASH700936D_M","ASHTECH Z-XII3"
"ANK200TUR","20818M001","active","Turkey (TUR)","TRM115000.00","TRIMBLE NETR9"
"ANKR00TUR","20805M002","decommissioned","Turkey (TUR)","LEIAR10","LEICA GR30"
"AQUI00ITA","12757M001","active","Italy (ITA)","LEIAR20","LEICA GR30"
"ARA200SVN","14503M002","active","Slovenia (SVN)","LEIAR20","LEICA GR25"
"ARGI00FRO","10117M002","active","Faroe Islands (the) (FRO)","TRM57971.00","TRIMBLE NETR9"
"ARIS00GBR","19190M001","active","United Kingdom of Great Britain and Northern Ireland (the) (GBR)","LEIAR25","TRIMBLE ALLOY"
"ARJ600SWE","10428M002","active","Sweden (SWE)","TPSCR.G5","TRIMBLE ALLOY"
"ASGA00CYP","25401M001","active","Cyprus (CYP)","TRM159900.00","TRIMBLE ALLOY"
"ASIR00ITA","14668M001","active","Italy (ITA)","LEIAR20","LEICA GR30"
"AUBG00DEU","10913M001","active","Germany (DEU)","LEIAR25.R3","JAVAD TRE_3S DELTA"
"AUT100GRC","12619M002","active","Greece (GRC)","LEIAT504","LEICA GRX1200PRO"
"AUTN00FRA","10080M001","active","France (FRA)","TRM57971.00","LEICA GR50"
"AXPV00FRA","10057M001","active","France (FRA)","TRM57971.00","LEICA GR50"
"BACA00ROU","11405M001","active","Romania (ROU)","LEIAR20","LEICA GR50"
"BADH00DEU","14288M001","active","Germany (DEU)","LEIAR10","LEICA GR50"
"BAIA00ROU","11406M001","active","Romania (ROU)","LEIAR20","LEICA GR50"
"BAUT00DEU","14102M001","active","Germany (DEU)","LEIAR25.R3","JAVAD TRE_3 DELTA"
"BBYS00SVK","11514M001","active","Slovakia (SVK)","TRM59800.00","TRIMBLE NETR9"
"BCLN00ESP","13412M001","active","Spain (ESP)","LEIAR25.R4","LEICA GR10"
"BELF00GBR","13240M001","decommissioned","United Kingdom of Great Britain and Northern Ireland (the) (GBR)","LEIAT504GG","LEICA GRX1200GGPRO"
"BELL00ESP","13431M001","active","Spain (ESP)","LEIAR25.R4","LEICA GR50"
"BFST00GBR","15202M001","active","United Kingdom of Great Britain and Northern Ireland (the) (GBR)","LEIAR25.R3","LEICA GR50"
"BIRG00ITA","14613M001","active","Italy (ITA)","LEIAR20","LEICA GR30"
"BISK00CZE","11520M001","active","Czechia (CZE)","ASH701946.2","TPS NETG3"
"BME100HUN","11209M002","active","Hungary (HUN)","CHCC220GR2","CHC P5E"
"BOGE00POL","12207M004","active","Poland (POL)","LEIAR20","LEICA GR30"
"BOGI00POL","12207M003","active","Poland (POL)","TPSCR.G5","JAVAD TRE_G3T DELTA"
"BOGO00POL","12207M002","active","Poland (POL)","ASH700936C_M","JPS EGGDT"
"BOLG00ITA","12771M001","active","Italy (ITA)","LEIAR20","LEICA GR50"
"BOR100POL","12205M002","active","Poland (POL)","TRM59800.00","TRIMBLE NETR9"
"BORJ00DEU","14268M002","active","Germany (DEU)","LEIAR25.R4","JAVAD TRE_3S DELTA"
"BORK00DEU","14268M001","decommissioned","Germany (DEU)","TRM29659.00","TRIMBLE 4700"
"BORR00ESP","13480M001","active","Spain (ESP)","TRM59900.00","TRIMBLE NETR9"
"BPDL00POL","12223M001","active","Poland (POL)","TRM159900.00","TRIMBLE ALLOY"
"BRMF00FRA","19686M002","active","France (FRA)","TRM57971.00","LEICA GR50"
"BRMG00DEU","10918M001","active","Germany (DEU)","LEIAR25.R4","JAVAD TRE_3S DELTA"
"BRON00FRA","19686M001","decommissioned","France (FRA)","TRM57971.00","LEICA GR25"
"BRST00FRA","10004M004","active","France (FRA)","TRM57971.00","TRIMBLE ALLOY"
"BRTS00BLR","14804M001","active","Belarus (BLR)","LEIAR25.R4","LEICA GR30"
"BRUS00BEL","13101M004","decommissioned","Belgium (BEL)","ASH701945B_M","ASHTECH Z-XII3T"
"BRUX00BEL","13101M010","active","Belgium (BEL)","JAVRINGANT_DM","SEPT POLARX5TR"
"BSCN00FRA","10028M007","active","France (FRA)","TRM57971.00","LEICA GR50"
"BSVZ00ITA","12718M004","active","Italy (ITA)","LEIAR20","LEICA GR30"
"BUCU00ROU","11401M001","active","Romania (ROU)","LEIAR25.R4","LEICA GR50"
"BUDD00DNK","10101S001","active","Denmark (DNK)","LEIAR25.R4","SEPT POLARX5"
"BUDP00DNK","10101M003","active","Denmark (DNK)","ASH701941.B","SEPT POLARX5"
"BUTE00HUN","11209M001","active","Hungary (HUN)","LEIAR25.R4","LEICA GR50"
"BYDG00POL","12224M001","active","Poland (POL)","TRM59900.00","TRIMBLE ALLOY"
"BZR200ITA","12751M003","active","Italy (ITA)","LEIAR25.R4","LEICA GR30"
"BZRG00ITA","12751M001","decommissioned","Italy (ITA)","LEIAR25.R4","LEICA GRX1200+GNSS"
"CACE00ESP","13447M001","active","Spain (ESP)","TRM29659.00","TRIMBLE NETR9"
"CAEN00FRA","19994M001","decommissioned","France (FRA)","TRM57971.00","LEICA GR25"
"CAG100ITA","12702M002","active","Italy (ITA)","TPSPN.A5","TPS NET-G5"
"CAGL00ITA","12725M003","decommissioned","Italy (ITA)","TRM29659.00","TRIMBLE 4700"
"CAGZ00ITA","12725M004","decommissioned","Italy (ITA)","JPSREGANT_DD_E2","TPS E_GGD"
"CAKO00HRV","11906M001","active","Croatia (HRV)","TRM115000.00","TRIMBLE ALLOY"
"CAME00ITA","12754M001","decommissioned","Italy (ITA)","TRM29659.00","TRIMBLE 4000SSI"
"CANT00ESP","13438M001","active","Spain (ESP)","LEIAR25.R4","LEICA GR10"
"CARG00ESP","19412M001","active","Spain (ESP)","LEIAR20","LEICA GR50"
"CASB00IRL","13619M002","decommissioned","Ireland (IRL)","LEIAT504GG","LEICA GRX1200GGPRO"
"CASC00PRT","13909S001","active","Portugal (PRT)","TRM159900.00","TRIMBLE ALLOY"
"CASE00ESP","13494M001","active","Spain (ESP)","LEIAR25.R4","LEICA GR50"
